Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Sprint,Priority
Epic,"Authentication, Users, Roles, and Permissions","Build the identity and access foundation for FosterHub including invites, login, role templates, permission evaluation, and user-specific permission overrides.","Authentication, Users, Roles, and Permissions",,"mvp auth permissions",,High
Epic,"Case Core and Child Records","Build the foundational child/case model, case assignments, participants, notes, and case visibility rules.","Case Core and Child Records",,"mvp cases",,High
Epic,"Intake Workflow","Build the intake record workflow including creation, detail management, assignment, status tracking, and conversion to case.","Intake Workflow",,"mvp intake",,High
Epic,"Worker Portal","Build the worker-facing dashboard, case list, schedule visibility, and operational workflow entry points.","Worker Portal",,"mvp worker-portal",,High
Epic,"Resource Parent Portal","Build the caregiver-facing portal including dashboard, child detail visibility, and key contacts/resources.","Resource Parent Portal",,"mvp parent-portal",,High
Epic,"Messaging and Communication","Build secure in-platform messaging with threads, inbox views, unread indicators, and case-linked context.","Messaging and Communication",,"mvp messaging",,High
Epic,"Requests and Approvals","Build the structured request workflow including submission, review, comments, attachments, and decisioning.","Requests and Approvals",,"mvp requests",,High
Epic,"Placement Workflow","Build the placement process including resource homes, placement search, placement requests, responses, and recorded placements.","Placement Workflow",,"mvp placement",,High
Epic,"Vendor Onboarding Basics","Build vendor invites, onboarding checklist, submissions, review queue, approval decisions, and parent-facing approved vendor visibility.","Vendor Onboarding Basics",,"mvp vendors",,Medium
Epic,"Documents and File Handling","Build reusable file upload, secure storage, document linking, and document visibility enforcement across the MVP.","Documents and File Handling",,"mvp documents",,Medium
Epic,"Dashboards and Reporting Basics","Build the first operational dashboard summaries and queue counts for admins and workers.","Dashboards and Reporting Basics",,"mvp reporting",,Medium
Epic,"Auditability and Safety","Build audit logging and consistent authorization error behavior for sensitive workflows.","Auditability and Safety",,"mvp audit permissions",,High
Story,"Invite a new user into FosterHub","As an administrator, I want to invite a new user with a starting role, so that they can securely access the system.",,"Authentication, Users, Roles, and Permissions","mvp auth permissions","Sprint 1",High
Story,"Log in and out securely","As a user, I want to log in and out securely, so that I can access FosterHub safely.",,"Authentication, Users, Roles, and Permissions","mvp auth","Sprint 1",High
Story,"Manage role templates and permissions","As an administrator, I want reusable role templates with permission sets, so that I can manage access efficiently.",,"Authentication, Users, Roles, and Permissions","mvp permissions","Sprint 1",High
Story,"Apply per-user permission overrides","As an administrator, I want to override a user’s permissions individually, so that exceptions can be handled without new roles.",,"Authentication, Users, Roles, and Permissions","mvp permissions","Sprint 1",High
Story,"Create and manage child records","As an authorized internal user, I want to create and edit child records, so that children can be represented properly in the system.",,"Case Core and Child Records","mvp cases","Sprint 2",High
